script,keep_only_speaker_gold_clusters,remove_singleton_gold_clusters,heuristic_pronoun_resolution,use_speaker_sep,keep_person_sys_clusters,keep_speaker_sys_clusters,heuristic_speaker_resolution,min_speaker_sim,max_speaker_merges,muc_R,muc_P,muc_F1,bcubed_R,bcubed_P,bcubed_F1,ceafe_R,ceafe_P,ceafe_F1,conll2012_R,conll2012_P,conll2012_F1,nec_F1,nec_per_chains_missed,nec_name_F1,nec_pronoun_F1,nec_nominal_F1,mention_P,mention_R,mention_F1
basterds,False,False,False,False,False,False,False,0.5,0,0.7157784743991641,0.6035242290748899,0.6548757170172085,0.23314066619282098,0.36250000343050154,0.28377341106722126,0.6183979091762,0.07901751061695889,0.14012957547835073,0.522439016589395,0.34834724770745007,0.3595929011875935,0.6039631511081855,10.0,0.5502800090590886,0.5549124660008297,0.3701149425287356,0.6007604562737643,0.8061224489795918,0.6884531590413944
basterds,False,False,False,True,False,False,False,0.5,0,0.7669801462904912,0.6289631533847472,0.6911487758945386,0.2883728449302367,0.43705610241697984,0.34747748103793386,0.6371468009143766,0.0856981077253255,0.15107604557763568,0.5641665973783682,0.38390578784235085,0.39656743417003604,0.6472293105620226,5.0,0.5298774767941755,0.6766489279725846,0.4095833333333333,0.6136023916292974,0.8377551020408164,0.7083692838654012
basterds,False,False,False,False,False,False,False,0.6,0,0.7157784743991641,0.6035242290748899,0.6548757170172085,0.23314066619282098,0.36250000343050154,0.28377341106722126,0.6183979091762,0.07901751061695889,0.14012957547835073,0.522439016589395,0.34834724770745007,0.3595929011875935,0.6039631511081855,10.0,0.5502800090590886,0.5549124660008297,0.3701149425287356,0.6007604562737643,0.8061224489795918,0.6884531590413944
basterds,False,False,False,True,False,False,False,0.6,0,0.7669801462904912,0.6289631533847472,0.6911487758945386,0.2883728449302367,0.43705610241697984,0.34747748103793386,0.6371468009143766,0.0856981077253255,0.15107604557763568,0.5641665973783682,0.38390578784235085,0.39656743417003604,0.6472293105620226,5.0,0.5298774767941755,0.6766489279725846,0.4095833333333333,0.6136023916292974,0.8377551020408164,0.7083692838654012
basterds,False,False,False,False,False,False,False,0.7,0,0.7157784743991641,0.6035242290748899,0.6548757170172085,0.23314066619282098,0.36250000343050154,0.28377341106722126,0.6183979091762,0.07901751061695889,0.14012957547835073,0.522439016589395,0.34834724770745007,0.3595929011875935,0.6039631511081855,10.0,0.5502800090590886,0.5549124660008297,0.3701149425287356,0.6007604562737643,0.8061224489795918,0.6884531590413944
basterds,False,False,False,True,False,False,False,0.7,0,0.7669801462904912,0.6289631533847472,0.6911487758945386,0.2883728449302367,0.43705610241697984,0.34747748103793386,0.6371468009143766,0.0856981077253255,0.15107604557763568,0.5641665973783682,0.38390578784235085,0.39656743417003604,0.6472293105620226,5.0,0.5298774767941755,0.6766489279725846,0.4095833333333333,0.6136023916292974,0.8377551020408164,0.7083692838654012
basterds,False,False,False,False,False,False,False,0.8,0,0.7157784743991641,0.6035242290748899,0.6548757170172085,0.23314066619282098,0.36250000343050154,0.28377341106722126,0.6183979091762,0.07901751061695889,0.14012957547835073,0.522439016589395,0.34834724770745007,0.3595929011875935,0.6039631511081855,10.0,0.5502800090590886,0.5549124660008297,0.3701149425287356,0.6007604562737643,0.8061224489795918,0.6884531590413944
basterds,False,False,False,True,False,False,False,0.8,0,0.7669801462904912,0.6289631533847472,0.6911487758945386,0.2883728449302367,0.43705610241697984,0.34747748103793386,0.6371468009143766,0.0856981077253255,0.15107604557763568,0.5641665973783682,0.38390578784235085,0.39656743417003604,0.6472293105620226,5.0,0.5298774767941755,0.6766489279725846,0.4095833333333333,0.6136023916292974,0.8377551020408164,0.7083692838654012
basterds,False,False,False,False,False,False,False,0.9,0,0.7157784743991641,0.6035242290748899,0.6548757170172085,0.23314066619282098,0.36250000343050154,0.28377341106722126,0.6183979091762,0.07901751061695889,0.14012957547835073,0.522439016589395,0.34834724770745007,0.3595929011875935,0.6039631511081855,10.0,0.5502800090590886,0.5549124660008297,0.3701149425287356,0.6007604562737643,0.8061224489795918,0.6884531590413944
basterds,False,False,False,True,False,False,False,0.9,0,0.7669801462904912,0.6289631533847472,0.6911487758945386,0.2883728449302367,0.43705610241697984,0.34747748103793386,0.6371468009143766,0.0856981077253255,0.15107604557763568,0.5641665973783682,0.38390578784235085,0.39656743417003604,0.6472293105620226,5.0,0.5298774767941755,0.6766489279725846,0.4095833333333333,0.6136023916292974,0.8377551020408164,0.7083692838654012
basterds,False,False,False,False,False,False,False,1.0,0,0.7157784743991641,0.6035242290748899,0.6548757170172085,0.23314066619282098,0.36250000343050154,0.28377341106722126,0.6183979091762,0.07901751061695889,0.14012957547835073,0.522439016589395,0.34834724770745007,0.3595929011875935,0.6039631511081855,10.0,0.5502800090590886,0.5549124660008297,0.3701149425287356,0.6007604562737643,0.8061224489795918,0.6884531590413944
basterds,False,False,False,True,False,False,False,1.0,0,0.7669801462904912,0.6289631533847472,0.6911487758945386,0.2883728449302367,0.43705610241697984,0.34747748103793386,0.6371468009143766,0.0856981077253255,0.15107604557763568,0.5641665973783682,0.38390578784235085,0.39656743417003604,0.6472293105620226,5.0,0.5298774767941755,0.6766489279725846,0.4095833333333333,0.6136023916292974,0.8377551020408164,0.7083692838654012
basterds,False,False,False,False,False,False,False,0.5,1,0.7157784743991641,0.6035242290748899,0.6548757170172085,0.23314066619282098,0.36250000343050154,0.28377341106722126,0.6183979091762,0.07901751061695889,0.14012957547835073,0.522439016589395,0.34834724770745007,0.3595929011875935,0.6039631511081855,10.0,0.5502800090590886,0.5549124660008297,0.3701149425287356,0.6007604562737643,0.8061224489795918,0.6884531590413944
basterds,False,False,False,True,False,False,False,0.5,1,0.7669801462904912,0.6289631533847472,0.6911487758945386,0.2883728449302367,0.43705610241697984,0.34747748103793386,0.6371468009143766,0.0856981077253255,0.15107604557763568,0.5641665973783682,0.38390578784235085,0.39656743417003604,0.6472293105620226,5.0,0.5298774767941755,0.6766489279725846,0.4095833333333333,0.6136023916292974,0.8377551020408164,0.7083692838654012
basterds,False,False,False,False,False,False,False,0.6,1,0.7157784743991641,0.6035242290748899,0.6548757170172085,0.23314066619282098,0.36250000343050154,0.28377341106722126,0.6183979091762,0.07901751061695889,0.14012957547835073,0.522439016589395,0.34834724770745007,0.3595929011875935,0.6039631511081855,10.0,0.5502800090590886,0.5549124660008297,0.3701149425287356,0.6007604562737643,0.8061224489795918,0.6884531590413944
basterds,False,False,False,True,False,False,False,0.6,1,0.7669801462904912,0.6289631533847472,0.6911487758945386,0.2883728449302367,0.43705610241697984,0.34747748103793386,0.6371468009143766,0.0856981077253255,0.15107604557763568,0.5641665973783682,0.38390578784235085,0.39656743417003604,0.6472293105620226,5.0,0.5298774767941755,0.6766489279725846,0.4095833333333333,0.6136023916292974,0.8377551020408164,0.7083692838654012
basterds,False,False,False,False,False,False,False,0.7,1,0.7157784743991641,0.6035242290748899,0.6548757170172085,0.23314066619282098,0.36250000343050154,0.28377341106722126,0.6183979091762,0.07901751061695889,0.14012957547835073,0.522439016589395,0.34834724770745007,0.3595929011875935,0.6039631511081855,10.0,0.5502800090590886,0.5549124660008297,0.3701149425287356,0.6007604562737643,0.8061224489795918,0.6884531590413944
basterds,False,False,False,True,False,False,False,0.7,1,0.7669801462904912,0.6289631533847472,0.6911487758945386,0.2883728449302367,0.43705610241697984,0.34747748103793386,0.6371468009143766,0.0856981077253255,0.15107604557763568,0.5641665973783682,0.38390578784235085,0.39656743417003604,0.6472293105620226,5.0,0.5298774767941755,0.6766489279725846,0.4095833333333333,0.6136023916292974,0.8377551020408164,0.7083692838654012
basterds,False,False,False,False,False,False,False,0.8,1,0.7157784743991641,0.6035242290748899,0.6548757170172085,0.23314066619282098,0.36250000343050154,0.28377341106722126,0.6183979091762,0.07901751061695889,0.14012957547835073,0.522439016589395,0.34834724770745007,0.3595929011875935,0.6039631511081855,10.0,0.5502800090590886,0.5549124660008297,0.3701149425287356,0.6007604562737643,0.8061224489795918,0.6884531590413944
basterds,False,False,False,True,False,False,False,0.8,1,0.7669801462904912,0.6289631533847472,0.6911487758945386,0.2883728449302367,0.43705610241697984,0.34747748103793386,0.6371468009143766,0.0856981077253255,0.15107604557763568,0.5641665973783682,0.38390578784235085,0.39656743417003604,0.6472293105620226,5.0,0.5298774767941755,0.6766489279725846,0.4095833333333333,0.6136023916292974,0.8377551020408164,0.7083692838654012
