script,keep_only_speaker_gold_clusters,remove_singleton_gold_clusters,use_speaker_sep,keep_person_sys_clusters,keep_speaker_sys_clusters,heuristic_speaker_resolution,heuristic_pronoun_resolution,min_speaker_sim,max_speaker_merges,muc_R,muc_P,muc_F1,bcubed_R,bcubed_P,bcubed_F1,ceafe_R,ceafe_P,ceafe_F1,conll2012_R,conll2012_P,conll2012_F1,nec_F1,nec_per_chains_missed,nec_name_F1,nec_pronoun_F1,nec_nominal_F1
basterds,False,False,False,False,False,False,False,0.6,3,0.7157784743991641,0.6035242290748899,0.6548757170172085,0.23314066619282098,0.36250000343050154,0.28377341106722126,0.6183979091762,0.07901751061695889,0.14012957547835073,0.522439016589395,0.34834724770745007,0.3595929011875935,0.6039631511081855,10.0,0.5502800090590886,0.5549124660008297,0.3701149425287356
basterds,False,False,True,False,False,False,False,0.6,3,0.7669801462904912,0.6289631533847472,0.6911487758945386,0.2883728449302367,0.43705610241697984,0.34747748103793386,0.6371468009143766,0.0856981077253255,0.15107604557763568,0.5641665973783682,0.38390578784235085,0.39656743417003604,0.6472293105620226,5.0,0.5298774767941755,0.6766489279725846,0.4095833333333333
basterds,False,True,False,False,False,False,False,0.6,3,0.7157784743991641,0.6035242290748899,0.6548757170172085,0.23314066619282098,0.36250000343050154,0.28377341106722126,0.6183979091762,0.07901751061695889,0.14012957547835073,0.522439016589395,0.34834724770745007,0.3595929011875935,0.6039631511081855,10.0,0.5502800090590886,0.5549124660008297,0.3701149425287356
basterds,False,True,True,False,False,False,False,0.6,3,0.7669801462904912,0.6289631533847472,0.6911487758945386,0.2883728449302367,0.43705610241697984,0.34747748103793386,0.6371468009143766,0.0856981077253255,0.15107604557763568,0.5641665973783682,0.38390578784235085,0.39656743417003604,0.6472293105620226,5.0,0.5298774767941755,0.6766489279725846,0.4095833333333333
basterds,False,False,False,False,True,False,False,0.6,3,0.625914315569488,0.7459526774595268,0.6806818181818182,0.19400969920704514,0.447501542263205,0.27067223143337366,0.32963669454542016,0.1805153327272539,0.23328135306291273,0.3831869031073178,0.45798985081666194,0.3948784675593682,0.3790821987272332,30.0,0.3643184705975501,0.3696183483537709,0.3201149425287356
basterds,False,False,True,False,True,False,False,0.6,3,0.6781609195402298,0.787621359223301,0.7288040426726559,0.25324783617337143,0.5691203940018071,0.3505206135514073,0.36529256819057865,0.21004322670958273,0.2667215577264543,0.4322337746347267,0.5222616599782303,0.4486820713168392,0.42008645341916545,30.0,0.35130604822274697,0.5357398370634937,0.37625000000000003
basterds,False,True,False,False,True,False,False,0.6,3,0.625914315569488,0.7459526774595268,0.6806818181818182,0.19400969920704514,0.447501542263205,0.27067223143337366,0.32963669454542016,0.1805153327272539,0.23328135306291273,0.3831869031073178,0.45798985081666194,0.3948784675593682,0.3790821987272332,30.0,0.3643184705975501,0.3696183483537709,0.3201149425287356
basterds,False,True,True,False,True,False,False,0.6,3,0.6781609195402298,0.787621359223301,0.7288040426726559,0.25324783617337143,0.5691203940018071,0.3505206135514073,0.36529256819057865,0.21004322670958273,0.2667215577264543,0.4322337746347267,0.5222616599782303,0.4486820713168392,0.42008645341916545,30.0,0.35130604822274697,0.5357398370634937,0.37625000000000003
basterds,False,False,False,True,False,False,False,0.6,3,0.6227795193312434,0.8010752688172043,0.7007642563198119,0.20438197293759378,0.48085854070912476,0.2868447364006607,0.4255476676303063,0.27964561015705847,0.3375033226033464,0.4175697199663812,0.5205264732277959,0.4417041051079396,0.4456298177748522,30.0,0.4136133423924219,0.3715791326674964,0.3201149425287356
basterds,False,False,True,True,False,False,False,0.6,3,0.6760710553814002,0.7987654320987654,0.7323146576117713,0.27146008151374995,0.5649745048871077,0.3667185160522375,0.480549774752133,0.2402748873760665,0.320366516501422,0.47602697054909443,0.5346716081206465,0.4731332300551436,0.5103245486572606,20.0,0.4232108101275089,0.49331559463925123,0.35958333333333337
basterds,False,True,False,True,False,False,False,0.6,3,0.6227795193312434,0.8010752688172043,0.7007642563198119,0.20438197293759378,0.48085854070912476,0.2868447364006607,0.4255476676303063,0.27964561015705847,0.3375033226033464,0.4175697199663812,0.5205264732277959,0.4417041051079396,0.4456298177748522,30.0,0.4136133423924219,0.3715791326674964,0.3201149425287356
basterds,False,True,True,True,False,False,False,0.6,3,0.6760710553814002,0.7987654320987654,0.7323146576117713,0.27146008151374995,0.5649745048871077,0.3667185160522375,0.480549774752133,0.2402748873760665,0.320366516501422,0.47602697054909443,0.5346716081206465,0.4731332300551436,0.5103245486572606,20.0,0.4232108101275089,0.49331559463925123,0.35958333333333337
basterds,False,False,False,True,True,False,False,0.6,3,0.5966562173458725,0.8299418604651163,0.6942249240121581,0.18949039910899634,0.48388249041300596,0.27233376233873346,0.27891205686426074,0.32074886539389985,0.2983710375757208,0.3550195577730432,0.5448577387573407,0.4216432413088708,0.3207488653938999,40.0,0.32765180393088345,0.23628501502043758,0.3201149425287356
